#Incident energy 	 
#Incident energy 	 
#Incident energy 	 σ(E)
#1E-05	0
5660000	0.1272377
5670000	0.1281963
5680000	0.1292801
5690000	0.1304942
5700000	0.1318338
5710000	0.133303
5720000	0.1348985
5730000	0.1366213
5740000	0.1384724
5750000	0.1404521
5760000	0.1425583
5770000	0.1447933
5780000	0.1471542
5790000	0.1496453
5800000	0.1522621
5810000	0.1550068
5820000	0.1578802
5830000	0.16088
5840000	0.169931
5850000	0.177955
5860000	0.188526
5870000	0.20251
5880000	0.220699
5890000	0.243949
5900000	0.274102
5910000	0.315512
5920000	0.359021
5930000	0.400731
5940000	0.436746
5950000	0.463145
5960000	0.476019
5970000	0.470707
5980000	0.451662
5990000	0.422777
6000000	0.38784
6010000	0.350675
6020000	0.315071
6030000	0.284211
6040000	0.258865
6050000	0.238581
6060000	0.222831
6070000	0.2111
6080000	0.202884
6090000	0.197642
6100000	0.194874
6110000	0.194062
6120000	0.194689
6130000	0.196238
6140000	0.198203
6148560	0.1997866
6150000	0.200053
6160000	0.201568
6170000	0.202764
6180000	0.203643
6190000	0.204235
6200000	0.204542
6400000	0.1757487
6410120	0.1751133
6600000	0.1631905
6800000	0.2049002
7000000	0.255302
7200000	0.278481
7400000	0.28028
7600000	0.27608
7800000	0.2731927
8000000	0.2709428
8200000	0.2682514
8400000	0.2655935
8600000	0.2636757
8705330	0.263141
8800000	0.2626604
9000000	0.2620096
9200000	0.2614587
9400000	0.2613757
9600000	0.2617226
9800000	0.2625743
10000000	0.2614518
10200000	0.2631467
10400000	0.2628733
10600000	0.2620936
10800000	0.2626481
11000000	0.2604887
11200000	0.2611922
11400000	0.2601577
11600000	0.2589689
11800000	0.2580624
12000000	0.2559308
12200000	0.2550674
12400000	0.2533189
12600000	0.2519287
12800000	0.2510865
13000000	0.2496576
13200000	0.2493659
13400000	0.2487324
13600000	0.2486192
13800000	0.2487238
14000000	0.2475732
14200000	0.247418
14400000	0.2468232
14600000	0.2462403
14800000	0.2459639
15000000	0.2462428

